UsuarioID,Nota,Produto,Categoria,Regiao,Idade,Preco,DataCompra,Quantidade,FormaPagamento,Desconto
USER0000,2,Roteador,Redes,Norte,49,1065.07,07/05/2023,5,Boleto,16.94
USER0001,2,Televisão,Eletrônicos,Norte,35,469.02,11/06/2023,4,Boleto,0.0
USER0002,1,Controle de Acesso,Segurança,Centro-Oeste,41,3927.77,21/07/2023,5,Cartão de Crédito,0.0
USER0003,4,Alarme,Segurança,Sudeste,22,2457.26,06/11/2023,6,Pix,78.11
USER0004,3,Repetidor,Redes,Norte,42,2188.64,29/05/2023,3,Boleto,0.0
USER0005,1,CLP,Automação,Sul,66,3315.78,15/09/2023,9,Pix,0.0
USER0006,2,Servo Motor,Automação,Nordeste,67,2558.18,23/02/2023,6,Pix,62.98
USER0007,4,Smartphone,Eletrônicos,Nordeste,20,2855.84,12/08/2023,2,Transferência Bancária,0.0
USER0008,2,Atuador,Automação,Sudeste,60,3055.14,27/09/2023,1,Transferência Bancária,0.0
USER0009,2,Repetidor,Redes,Sul,18,302.49,06/04/2023,5,Dinheiro,82.22
USER0010,3,Controlador,Automação,Sul,46,1590.64,17/04/2023,6,Transferência Bancária,341.85
USER0011,2,CLP,Automação,Nordeste,48,4058.73,22/12/2023,1,Dinheiro,0.0
USER0012,3,Monitor,Informática,Centro-Oeste,69,1082.73,12/04/2023,9,Boleto,0.0
USER0013,2,Televisão,Eletrônicos,Sul,29,1647.09,26/10/2023,4,Cartão de Crédito,0.0
USER0014,5,Servo Motor,Automação,Sudeste,56,1810.93,03/09/2023,9,Cartão de Crédito,145.59
USER0015,4,Notebook,Informática,Centro-Oeste,34,893.11,18/08/2023,1,Pix,218.46
USER0016,5,Sensor de Movimento,Robótica,Nordeste,42,655.31,12/04/2023,6,Cartão de Crédito,0.0
USER0017,5,Switch,Redes,Sudeste,44,3284.34,23/07/2023,2,Dinheiro,273.91
USER0018,1,Controlador,Automação,Sul,29,4052.16,19/04/2023,1,Cartão de Crédito,0.0
USER0019,5,CLP,Automação,Sul,49,4548.43,02/03/2023,6,Dinheiro,357.79
USER0020,3,Sensor,Automação,Nordeste,19,1848.38,02/05/2023,9,Pix,0.0
USER0021,2,Fechadura Digital,Segurança,Sudeste,50,2873.14,21/10/2023,3,Pix,689.92
USER0022,2,Motor de Passo,Robótica,Centro-Oeste,69,4579.77,21/12/2023,4,Pix,0.0
USER0023,1,CLP,Automação,Norte,54,1171.29,09/05/2023,7,Pix,0.0
USER0024,3,Sensor,Automação,Centro-Oeste,20,3132.23,06/10/2023,6,Dinheiro,530.66
USER0025,2,Controlador,Automação,Norte,58,1316.33,23/05/2023,3,Cartão de Crédito,94.19
USER0026,4,Controlador,Automação,Norte,29,3781.83,20/02/2023,6,Cartão de Crédito,0.0
USER0027,4,Drone,Eletrônicos,Sudeste,42,4146.77,02/06/2023,7,Pix,0.0
USER0028,3,Televisão,Eletrônicos,Sudeste,49,2849.24,20/03/2023,7,Cartão de Crédito,0.0
USER0029,5,CLP,Automação,Norte,43,508.47,03/11/2023,6,Dinheiro,0.0
USER0030,5,Fechadura Digital,Segurança,Sul,43,2331.06,31/12/2023,4,Transferência Bancária,480.28
USER0031,3,Tablet,Eletrônicos,Nordeste,61,4314.32,19/05/2023,7,Dinheiro,0.0
USER0032,4,Monitor,Informática,Centro-Oeste,41,1390.79,10/06/2023,9,Dinheiro,204.14
USER0033,5,Motor de Passo,Robótica,Nordeste,28,2755.33,29/06/2023,3,Pix,0.0
USER0034,5,Roteador,Redes,Sudeste,45,270.51,18/05/2023,5,Pix,0.0
USER0035,3,Controlador,Automação,Sul,25,4073.28,12/05/2023,9,Boleto,168.39
USER0036,3,Motor de Passo,Robótica,Sudeste,31,2141.4,23/05/2023,3,Cartão de Crédito,108.59
USER0037,2,Smartwatch,Eletrônicos,Sul,61,4001.14,26/10/2023,1,Cartão de Crédito,1057.57
USER0038,2,Atuador,Automação,Nordeste,50,4179.0,16/02/2023,7,Pix,478.96
USER0039,2,Smartphone,Eletrônicos,Nordeste,21,1219.24,06/10/2023,5,Transferência Bancária,75.3
USER0040,2,Smartphone,Eletrônicos,Nordeste,50,157.9,17/07/2023,8,Transferência Bancária,0.0
USER0041,1,Smartwatch,Eletrônicos,Centro-Oeste,41,1008.91,27/04/2023,5,Dinheiro,100.19
USER0042,2,Atuador,Automação,Norte,27,4818.82,12/08/2023,8,Cartão de Crédito,195.7
USER0043,5,Alarme,Segurança,Centro-Oeste,54,904.65,18/02/2023,2,Dinheiro,0.0
USER0044,2,Sensor de Movimento,Robótica,Sudeste,41,2389.26,20/04/2023,3,Cartão de Crédito,118.88
USER0045,1,Fechadura Digital,Segurança,Centro-Oeste,39,4332.45,16/07/2023,1,Cartão de Crédito,1244.05
USER0046,1,Smartwatch,Eletrônicos,Sul,59,3980.94,18/07/2023,1,Cartão de Crédito,0.0
USER0047,5,Servo Motor,Automação,Sudeste,31,3708.43,07/05/2023,4,Transferência Bancária,839.1
USER0048,1,Kit de Montagem,Robótica,Sudeste,68,923.24,21/12/2023,6,Cartão de Crédito,0.0
USER0049,2,Braço Robótico,Robótica,Centro-Oeste,61,4462.75,26/02/2023,3,Dinheiro,760.17
USER0050,4,Servo Motor,Automação,Centro-Oeste,43,887.26,20/11/2023,4,Transferência Bancária,149.58
USER0051,4,Smartwatch,Eletrônicos,Norte,19,3569.97,27/12/2023,2,Dinheiro,0.0
USER0052,2,Alarme,Segurança,Centro-Oeste,27,2170.2,17/11/2023,3,Boleto,0.0
USER0053,1,Controlador,Automação,Sul,68,3780.78,13/09/2023,3,Cartão de Crédito,0.0
USER0054,5,Modem,Redes,Nordeste,42,2296.73,11/01/2023,5,Pix,0.0
USER0055,5,Controle de Acesso,Segurança,Sudeste,67,2854.96,07/05/2023,5,Dinheiro,0.0
USER0056,3,Tablet,Eletrônicos,Sudeste,59,2513.19,06/05/2023,7,Boleto,0.0
USER0057,3,Motor de Passo,Robótica,Sudeste,32,1514.08,16/02/2023,6,Pix,0.0
USER0058,4,Drone,Eletrônicos,Centro-Oeste,56,1999.87,20/08/2023,3,Boleto,0.0
USER0059,3,Switch,Redes,Sul,45,4896.77,11/07/2023,7,Transferência Bancária,0.0
USER0060,3,Teclado,Informática,Sudeste,29,3353.72,23/09/2023,2,Pix,200.78
USER0061,3,Drone,Eletrônicos,Centro-Oeste,39,1777.51,28/03/2023,9,Pix,0.0
USER0062,1,Desktop,Informática,Sudeste,67,3121.58,16/08/2023,1,Transferência Bancária,100.22
USER0063,3,Fechadura Digital,Segurança,Nordeste,38,2405.82,08/06/2023,2,Dinheiro,0.0
USER0064,2,Controle de Acesso,Segurança,Nordeste,30,3765.88,05/05/2023,4,Dinheiro,0.0
USER0065,2,Controle de Acesso,Segurança,Centro-Oeste,65,3553.37,28/11/2023,2,Cartão de Crédito,0.0
USER0066,4,Alarme,Segurança,Sul,34,230.64,31/01/2023,8,Cartão de Crédito,42.72
USER0067,1,Smartwatch,Eletrônicos,Centro-Oeste,39,3159.5,06/02/2023,2,Pix,0.0
USER0068,1,Tablet,Eletrônicos,Centro-Oeste,59,1647.44,25/01/2023,5,Dinheiro,468.88
USER0069,3,Drone,Eletrônicos,Centro-Oeste,47,1358.09,14/06/2023,9,Dinheiro,0.0
USER0070,5,Access Point,Redes,Centro-Oeste,65,2400.29,30/01/2023,8,Boleto,0.0
USER0071,1,Impressora,Informática,Centro-Oeste,59,3907.08,11/10/2023,3,Transferência Bancária,0.0
USER0072,5,Modem,Redes,Sul,35,3088.6,01/09/2023,6,Boleto,0.0
USER0073,4,Placa Controladora,Robótica,Sudeste,33,4711.32,03/04/2023,6,Boleto,1369.47
USER0074,1,Kit de Montagem,Robótica,Nordeste,49,2404.91,22/09/2023,4,Transferência Bancária,554.19
USER0075,5,Alarme,Segurança,Sul,50,3259.71,17/04/2023,4,Cartão de Crédito,0.0
USER0076,5,Servo Motor,Automação,Sudeste,26,2431.62,08/02/2023,1,Boleto,0.0
USER0077,2,Fechadura Digital,Segurança,Nordeste,57,2430.57,11/04/2023,4,Cartão de Crédito,0.0
USER0078,1,Switch,Redes,Centro-Oeste,61,4750.06,11/09/2023,5,Transferência Bancária,0.0
USER0079,1,Controle de Acesso,Segurança,Norte,68,684.24,04/07/2023,4,Boleto,0.0
USER0080,3,Braço Robótico,Robótica,Centro-Oeste,24,2532.87,12/04/2023,6,Boleto,737.69
USER0081,4,Placa Controladora,Robótica,Sul,42,3919.02,30/03/2023,8,Dinheiro,414.13
USER0082,5,Monitor,Informática,Nordeste,27,1425.18,31/07/2023,1,Transferência Bancária,0.0
USER0083,2,Sensor,Automação,Sul,57,2093.85,17/11/2023,9,Transferência Bancária,0.0
USER0084,3,CLP,Automação,Nordeste,33,4783.58,13/06/2023,3,Cartão de Crédito,313.31
USER0085,2,Sensor,Automação,Sul,57,1226.12,31/12/2023,2,Cartão de Crédito,147.6
USER0086,3,Switch,Redes,Centro-Oeste,60,2190.93,11/06/2023,5,Transferência Bancária,289.52
USER0087,2,Atuador,Automação,Sul,19,1111.19,10/11/2023,1,Dinheiro,0.0
USER0088,3,Sensor de Movimento,Robótica,Norte,40,250.66,05/02/2023,3,Boleto,0.47
USER0089,4,Fechadura Digital,Segurança,Sudeste,54,2818.32,07/04/2023,5,Boleto,172.03
USER0090,1,Switch,Redes,Nordeste,49,961.37,12/02/2023,8,Dinheiro,0.0
USER0091,5,Televisão,Eletrônicos,Norte,27,2591.44,02/10/2023,3,Pix,534.47
USER0092,3,Roteador,Redes,Sul,28,3042.95,17/11/2023,9,Dinheiro,856.76
USER0093,2,Sensor de Movimento,Robótica,Sul,20,1547.41,22/11/2023,3,Boleto,0.0
USER0094,5,Braço Robótico,Robótica,Nordeste,40,3932.33,22/01/2023,4,Transferência Bancária,0.0
USER0095,5,Motor de Passo,Robótica,Centro-Oeste,40,4768.65,04/04/2023,4,Cartão de Crédito,561.33
USER0096,5,Sensor de Movimento,Robótica,Centro-Oeste,65,4251.16,06/03/2023,4,Pix,321.17
USER0097,1,Switch,Redes,Centro-Oeste,48,2601.37,29/08/2023,8,Dinheiro,3.81
USER0098,4,Impressora,Informática,Norte,55,3271.58,24/02/2023,9,Transferência Bancária,0.0
USER0099,5,CLP,Automação,Centro-Oeste,57,4957.91,29/08/2023,4,Pix,534.08
USER0100,2,Sensor de Movimento,Robótica,Nordeste,59,2406.33,13/06/2023,6,Pix,0.0
USER0101,1,Desktop,Informática,Nordeste,24,3057.84,15/11/2023,9,Dinheiro,275.77
USER0102,4,Kit de Montagem,Robótica,Sul,60,4008.46,27/05/2023,3,Boleto,488.61
USER0103,4,CLP,Automação,Nordeste,36,345.21,01/02/2023,3,Cartão de Crédito,0.0
USER0104,5,Sensor,Automação,Sul,25,389.57,07/10/2023,5,Boleto,0.0
USER0105,5,Placa Controladora,Robótica,Norte,38,2649.53,11/11/2023,8,Pix,353.11
USER0106,4,Braço Robótico,Robótica,Norte,64,2478.72,26/05/2023,9,Dinheiro,0.0
USER0107,5,Access Point,Redes,Nordeste,48,270.94,12/04/2023,4,Pix,6.69
USER0108,4,Notebook,Informática,Nordeste,32,3520.01,16/12/2023,2,Transferência Bancária,675.83
USER0109,2,Motor de Passo,Robótica,Sul,47,676.74,03/10/2023,5,Pix,0.0
USER0110,3,Alarme,Segurança,Norte,45,2673.09,23/07/2023,4,Cartão de Crédito,114.07
USER0111,1,Repetidor,Redes,Norte,55,287.77,11/03/2023,5,Boleto,73.9
USER0112,3,Controlador,Automação,Nordeste,66,4881.94,08/11/2023,8,Transferência Bancária,0.0
USER0113,5,Repetidor,Redes,Nordeste,45,4675.73,28/06/2023,4,Pix,0.0
USER0114,5,Sensor,Automação,Nordeste,61,3889.44,05/07/2023,5,Pix,0.0
USER0115,1,Smartwatch,Eletrônicos,Centro-Oeste,52,1725.82,19/09/2023,5,Dinheiro,490.29
USER0116,2,CLP,Automação,Sul,46,775.04,18/03/2023,7,Dinheiro,155.86
USER0117,1,Televisão,Eletrônicos,Sul,66,1840.8,04/10/2023,9,Dinheiro,297.79
USER0118,4,Drone,Eletrônicos,Norte,36,283.15,12/03/2023,2,Cartão de Crédito,0.0
USER0119,4,Notebook,Informática,Norte,37,59.82,26/02/2023,5,Transferência Bancária,4.5
USER0120,4,Motor de Passo,Robótica,Sudeste,61,2269.64,31/03/2023,8,Boleto,147.34
USER0121,4,Drone,Eletrônicos,Sudeste,44,336.99,06/08/2023,2,Pix,0.0
USER0122,5,Switch,Redes,Sudeste,47,4521.95,30/04/2023,8,Boleto,0.0
USER0123,2,Placa Controladora,Robótica,Sul,29,2255.07,27/05/2023,2,Cartão de Crédito,0.0
USER0124,3,Motor de Passo,Robótica,Nordeste,38,960.23,22/12/2023,2,Pix,112.99
USER0125,4,Access Point,Redes,Centro-Oeste,56,2201.53,09/09/2023,5,Boleto,473.08
USER0126,4,Câmera,Segurança,Centro-Oeste,18,3343.61,03/10/2023,9,Boleto,0.0
USER0127,4,Switch,Redes,Sul,34,1884.98,17/07/2023,2,Pix,0.0
USER0128,5,Impressora,Informática,Centro-Oeste,29,4958.6,11/10/2023,2,Dinheiro,276.36
USER0129,4,Atuador,Automação,Centro-Oeste,41,4288.68,04/05/2023,8,Dinheiro,0.0
USER0130,5,Atuador,Automação,Sul,32,118.2,03/06/2023,2,Dinheiro,0.0
USER0131,5,Servo Motor,Automação,Sul,52,3433.9,01/11/2023,7,Dinheiro,0.0
USER0132,3,Switch,Redes,Norte,33,4576.97,14/06/2023,5,Transferência Bancária,0.0
USER0133,5,Kit de Montagem,Robótica,Nordeste,41,3371.1,29/07/2023,9,Boleto,0.0
